# t    Ek    Ep    Etot
2.59000000000000e+00 8.61731020231702e+00 -1.64764879237610e+02 -1.56147569035293e+02
2.60000000000000e+00 7.76896296122833e+00 -1.63916669501445e+02 -1.56147706540217e+02
2.61000000000000e+00 7.01538090166260e+00 -1.63163273735466e+02 -1.56147892833803e+02
2.62000000000000e+00 6.35310380655773e+00 -1.62501209898867e+02 -1.56148106092309e+02
2.63000000000000e+00 5.78989711022487e+00 -1.61933332850075e+02 -1.56143435739850e+02
2.64000000000000e+00 5.32083146639254e+00 -1.61464486361213e+02 -1.56143654894821e+02
2.65000000000000e+00 4.93037790256202e+00 -1.61074245958071e+02 -1.56143868055509e+02
2.66000000000000e+00 4.61495543790070e+00 -1.60759025960364e+02 -1.56144070522463e+02
2.67000000000000e+00 4.37118662199331e+00 -1.60515445902226e+02 -1.56144259280233e+02
2.68000000000000e+00 4.19593736102606e+00 -1.60340369866325e+02 -1.56144432505299e+02
2.69000000000000e+00 4.08634009875623e+00 -1.60230929307359e+02 -1.56144589208603e+02
2.70000000000000e+00 4.03980536813619e+00 -1.60184534344717e+02 -1.56144728976581e+02
2.71000000000000e+00 4.05402535582939e+00 -1.60198877140054e+02 -1.56144851784224e+02
2.72000000000000e+00 4.12697211382469e+00 -1.60271929974665e+02 -1.56144957860840e+02
2.73000000000000e+00 4.25689231264047e+00 -1.60401939907084e+02 -1.56145047594444e+02
2.74000000000000e+00 4.44229988704238e+00 -1.60587421351598e+02 -1.56145121464556e+02
2.75000000000000e+00 4.68196752438374e+00 -1.60827147520458e+02 -1.56145179996074e+02
2.76000000000000e+00 4.97491764808189e+00 -1.61120141377028e+02 -1.56145223728946e+02
2.77000000000000e+00 5.32041332495875e+00 -1.61465666524973e+02 -1.56145253200014e+02
2.78000000000000e+00 5.71794935309821e+00 -1.61863218287653e+02 -1.56145268934555e+02
2.79000000000000e+00 6.16724364958902e+00 -1.62312515095611e+02 -1.56145271446022e+02
2.80000000000000e+00 6.66822894168254e+00 -1.62813490184966e+02 -1.56145261243283e+02
2.81000000000000e+00 7.22104465947648e+00 -1.63366283504789e+02 -1.56145238845313e+02
2.82000000000000e+00 7.82602882353429e+00 -1.63971233627531e+02 -1.56145204803996e+02
2.83000000000000e+00 8.48370960765008e+00 -1.64628869343993e+02 -1.56145159736343e+02
2.84000000000000e+00 9.19479612578146e+00 -1.65339900493988e+02 -1.56145104368207e+02
2.85000000000000e+00 9.96016783252254e+00 -1.66105207424979e+02 -1.56145039592456e+02
2.86000000000000e+00 1.07808617261752e+01 -1.66925828271823e+02 -1.56144966545648e+02
2.87000000000000e+00 1.16580562877856e+01 -1.67802942996363e+02 -1.56144886708577e+02
2.88000000000000e+00 1.25930507603770e+01 -1.68737852798108e+02 -1.56144802037731e+02
2.89000000000000e+00 1.35872379476982e+01 -1.69731953084456e+02 -1.56144715136758e+02
2.90000000000000e+00 1.46420681636526e+01 -1.70786697643239e+02 -1.56144629479586e+02
2.91000000000000e+00 1.57590012588532e+01 -1.71903550958764e+02 -1.56144549699910e+02
2.92000000000000e+00 1.69394427500571e+01 -1.73083924715376e+02 -1.56144481965319e+02
2.93000000000000e+00 1.81846589370139e+01 -1.74329093395288e+02 -1.56144434458274e+02
2.94000000000000e+00 1.94956644628385e+01 -1.75640082452883e+02 -1.56144417990045e+02
2.95000000000000e+00 2.08730740169259e+01 -1.77017520793565e+02 -1.56144446776639e+02
2.96000000000000e+00 2.23169077720110e+01 -1.78461447178133e+02 -1.56144539406122e+02
2.97000000000000e+00 2.38263377149876e+01 -1.79971057736221e+02 -1.56144720021233e+02
2.98000000000000e+00 2.53993593969552e+01 -1.81544379121418e+02 -1.56145019724463e+02
2.99000000000000e+00 2.70323710954234e+01 -1.83177849270739e+02 -1.56145478175316e+02
3.00000000000000e+00 2.87196405766336e+01 -1.84865785852866e+02 -1.56146145276232e+02
3.01000000000000e+00 3.04526397421115e+01 -1.86599722452776e+02 -1.56147082710665e+02
